"","x"
"1","X900912244001_A_1"
"2","X900912244001_A_10"
"3","X900912244001_A_11"
"4","X900912244001_A_12"
"5","X900912244001_A_2"
"6","X900912244001_A_3"
"7","X900912244001_A_4"
"8","X900912244001_A_5"
"9","X900912244001_A_6"
"10","X900912244001_A_7"
"11","X900912244001_A_8"
"12","X900912244001_A_9"
"13","X900912244001_B_1"
"14","X900912244001_B_10"
"15","X900912244001_B_11"
"16","X900912244001_B_12"
"17","X900912244001_B_2"
"18","X900912244001_B_3"
"19","X900912244001_B_4"
"20","X900912244001_B_5"
"21","X900912244001_B_6"
"22","X900912244001_B_7"
"23","X900912244001_B_8"
"24","X900912244001_B_9"
"25","X900912244001_C_1"
"26","X900912244001_C_10"
"27","X900912244001_C_11"
"28","X900912244001_C_12"
"29","X900912244001_C_2"
"30","X900912244001_C_3"
"31","X900912244001_C_4"
"32","X900912244001_C_5"
"33","X900912244001_C_6"
"34","X900912244001_C_7"
"35","X900912244001_C_8"
"36","X900912244001_C_9"
"37","X900912244001_D_1"
"38","X900912244001_D_10"
"39","X900912244001_D_11"
"40","X900912244001_D_12"
"41","X900912244001_D_2"
"42","X900912244001_D_3"
"43","X900912244001_D_4"
"44","X900912244001_D_5"
"45","X900912244001_D_6"
"46","X900912244001_D_7"
"47","X900912244001_D_8"
"48","X900912244001_D_9"
"49","X900912244001_E_1"
"50","X900912244001_E_10"
"51","X900912244001_E_11"
"52","X900912244001_E_12"
"53","X900912244001_E_2"
"54","X900912244001_E_3"
"55","X900912244001_E_4"
"56","X900912244001_E_5"
"57","X900912244001_E_6"
"58","X900912244001_E_7"
"59","X900912244001_E_8"
"60","X900912244001_E_9"
"61","X900912244001_F_1"
"62","X900912244001_F_10"
"63","X900912244001_F_11"
"64","X900912244001_F_2"
"65","X900912244001_F_3"
"66","X900912244001_F_4"
"67","X900912244001_F_6"
"68","X900912244001_F_7"
"69","X900912244001_F_8"
"70","X900912244001_F_9"
"71","X900912244001_G_1"
"72","X900912244001_G_10"
"73","X900912244001_G_11"
"74","X900912244001_G_2"
"75","X900912244001_G_3"
"76","X900912244001_G_4"
"77","X900912244001_G_5"
"78","X900912244001_G_6"
"79","X900912244001_G_7"
"80","X900912244001_G_8"
"81","X900912244001_G_9"
