order,nrowMRD,jfID,ncolfrLast
1,2759,X900912270003_B_4,5983
2,127,X900912244002_C_8,3069
3,8770,X903111229001_H_9,343
4,3233,X900912276003_G_5,6457
5,2205,X900912261005_C_11,5335
6,3224,X900912276003_F_4,6448
7,892,X900912247010_H_11,3928
8,8383,X902112234006_F_4,2641
9,9553,X903111236003_G_4,233
10,3034,X900912270006_B_1,6258
11,10522,X903112107002_D_6,16590
12,11428,X903112159008_C_12,6494
13,6399,X900912326004_H_11,20501
14,7945,X902112234001_G_7,2109
15,6800,X900912340002_D_5,20827
16,4262,X900912312003_H_9,10318
17,9224,X903111229007_C_7,797
18,628,X900912244008_A_11,3664
19,4652,X900912312008_C_10,10708
20,7066,X900912340005_D_6,13474
21,10724,X903112129002_G_10,18664
22,13223,X903112180005_F_3,15365
23,2965,X900912270005_D_10,6189
24,5401,X900912317006_D_3,11551
25,11442,X903112159008_D_3,6508
26,1719,X900912254012_A_6,4849
27,1048,X900912247012_F_8,4084
28,5306,X900912317005_D_12,11456
29,9113,X903111229006_A_12,686
30,2128,X900912261004_D_5,5258
31,7215,X900912340007_A_4,13623
32,8533,X902112234008_C_7,2791
33,3631,X900912276008_F_7,6949
34,3652,X900912276008_H_6,6970
35,12158,X903112172003_A_7,13814
36,5205,X900912317004_C_4,11355
37,13464,X903112180008_C_7,15699
38,13812,X903112198004_A_4,21438
39,180,X900912244002_H_7,3122
40,2389,X900912261007_C_1,5613
41,6044,X900912324003_G_9,12276
42,7844,X900912352007_B_1,14344
43,4068,X900912312001_H_10,10124
44,7388,X900912345001_H_11,13796
45,7426,X900912352002_D_12,13926
46,9926,X903111290013_D_10,1242
47,7532,X900912352003_F_8,14032
48,2482,X900912261008_B_9,5706
49,9664,X903111248004_A_4,985
50,8861,X903111229003_A_12,434
51,6525,X900912326006_C_10,20627
52,12378,X903112172005_D_5,14520
53,4404,X900912312005_E_12,10460
54,9292,X903111229008_C_2,865
55,13685,X903112198002_F_5,21311
56,10565,X903112107002_H_4,16633
57,5589,X900912317009_E_7,11739
58,11368,X903112159007_F_10,5556
59,8600,X902112234009_A_6,2858
60,13826,X903112198004_B_6,21452
61,11108,X903112159004_H_1,2567
62,4978,X900912317001_G_5,11128
63,9180,X903111229006_G_8,753
64,193,X900912244003_B_1,3135
65,9157,X903111229006_E_7,730
66,3830,X900912311002_C_3,23558
67,56,X900912244001_E_5,2998
68,8592,X902112234008_H_9,2850
69,6674,X900912340001_A_7,20701
70,9755,X903111248005_A_3,1076
71,2402,X900912261007_D_10,5626
72,12148,X903112172002_H_9,12886
73,9622,X903111248003_E_2,943
74,13583,X903112198001_E_9,21209
75,1228,X900912247014_F_2,4264
76,2150,X900912261004_F_3,5280
77,11808,X903112159012_C_6,9979
78,12882,X903112180001_A_1,15024
79,13662,X903112198002_D_6,21288
80,7840,X900912352007_A_3,14340
81,10730,X903112129002_G_7,18670
82,8326,X902112234006_A_4,2584
83,7852,X900912352007_C_3,14352
84,1009,X900912247012_C_3,4045
85,13788,X903112198003_G_3,21414
86,4095,X900912312002_B_3,10151
87,1798,X900912254012_H_5,4928
88,10496,X903112107002_B_4,16564
89,13671,X903112198002_E_3,21297
90,13839,X903112198004_C_7,21465
91,164,X900912244002_G_2,3106
92,2775,X900912270003_C_8,5999
93,13211,X903112180005_E_11,15353
94,1907,X900912261002_A_8,5037
95,327,X900912244004_F_3,3269
96,6927,X900912340003_H_7,20954
97,6989,X900912340004_F_1,13397
98,3892,X900912311003_A_1,23620
99,9008,X903111229004_G_1,581
100,7168,X900912340006_E_3,13576
101,3367,X900912276005_E_9,6685
102,9921,X903111290013_C_6,1237
103,3070,X900912270006_E_1,6294
104,5087,X900912317003_A_11,11237
105,11992,X903112172001_C_4,11890
106,584,X900912244007_E_11,3620
107,7414,X900912352002_B_8,13914
108,9782,X903111248005_C_8,1103
109,10459,X903112107001_G_2,15647
110,7948,X902112234001_H_1,2112
111,13595,X903112198001_F_9,21221
112,12834,X903112172010_D_3,14976
113,7961,X902112234002_A_2,2125
114,158,X900912244002_F_7,3100
115,4368,X900912312005_B_11,10424
116,13815,X903112198004_A_7,21441
117,10395,X903112107001_A_8,15583
118,4603,X900912312007_F_8,10659
119,6358,X900912326004_D_5,20460
120,6692,X900912340001_C_12,20719
121,9548,X903111236003_F_9,228
122,4006,X900912312001_B_8,10062
123,1886,X900912261001_H_1,5016
124,8973,X903111229004_C_5,546
125,4967,X900912317001_F_5,11117
126,9023,X903111229004_H_5,596
127,7017,X900912340004_H_4,13425
128,570,X900912244007_C_9,3606
129,13701,X903112198002_H_1,21327
130,8677,X902112234009_H_2,2935
131,10545,X903112107002_F_5,16613
132,2102,X900912261004_B_3,5232
133,4373,X900912312005_B_5,10429
134,7508,X900912352003_D_8,14008
135,5699,X900912317010_G_9,11849
136,11110,X903112159004_H_11,2569
137,9422,X903111236002_B_12,102
138,10799,X903112159001_E_5,18739
139,12823,X903112172010_C_4,14965
140,515,X900912244006_G_11,3457
141,2179,X900912261005_A_1,5309
142,551,X900912244007_B_2,3587
143,12403,X903112172005_F_7,14545
144,9694,X903111248004_D_11,1015
145,5805,X900912324001_A_12,12037
146,2586,X900912270001_C_7,5810
147,8840,X903111229002_G_2,413
148,9252,X903111229007_F_11,825
149,6620,X900912326008_B_11,21105
150,12036,X903112172001_G_11,11934
151,7073,X900912340005_E_12,13481
152,10217,X903112066007_F_2,23718
153,6445,X900912326005_D_10,20547
154,3682,X900912276009_D_9,7000
155,9324,X903111236001_A_12,4
156,5102,X900912317003_B_3,11252
157,417,X900912244005_F_2,3359
158,3119,X900912270007_A_4,6343
159,10761,X903112159001_B_3,18701
160,5491,X900912317007_D_4,11641
161,10017,X903111320003_E_1,1333
162,6010,X900912324003_D_5,12242
163,2319,X900912261006_E_1,5449
164,3061,X900912270006_D_12,6285
165,5183,X900912317004_A_5,11333
166,5558,X900912317009_B_4,11708
167,3589,X900912276008_C_12,6907
168,11400,X903112159007_H_9,5588
169,7598,X900912352004_D_4,14098
170,7479,X900912352003_B_3,13979
171,2692,X900912270002_D_7,5916
172,8060,X902112234003_A_9,2224
173,2952,X900912270005_C_1,6176
174,10269,X903112066011_C_2,23770
175,2734,X900912270002_H_3,5958
176,4881,X900912312010_G_1,10937
177,8222,X902112234004_G_7,2386
178,4085,X900912312002_A_5,10141
179,11928,X903112159013_E_9,11017
180,5919,X900912324002_C_6,12151
181,10661,X903112129002_A_4,18601
182,10211,X903112066006_A_1,23712
183,2363,X900912261006_H_8,5493
184,11576,X903112159009_G_9,7458
185,8727,X903111229001_D_6,300
186,2146,X900912261004_F_10,5276
187,4459,X900912312006_B_12,10515
188,4658,X900912312008_C_5,10714
189,11678,X903112159010_H_6,8426
190,10244,X903112066011_A_10,23745
191,11730,X903112159011_E_1,9259
192,2873,X900912270004_D_11,6097
193,12453,X903112172006_C_10,14595
194,8531,X902112234008_C_5,2789
195,11781,X903112159012_A_3,9952
196,1179,X900912247014_B_12,4215
197,11670,X903112159010_G_9,8418
198,1298,X900912254007_D_3,4334
199,3420,X900912276006_C_11,6738
200,3235,X900912276003_G_8,6459
201,8968,X903111229004_C_10,541
202,1580,X900912254010_E_1,4710
203,13004,X903112180002_C_5,15146
204,6731,X900912340001_F_4,20758
205,2894,X900912270004_E_9,6118
206,466,X900912244006_B_8,3408
207,11668,X903112159010_G_7,8416
208,12078,X903112172002_B_9,12816
209,2250,X900912261005_F_9,5380
210,1010,X900912247012_C_4,4046
211,10650,X903112129001_H_5,17654
212,8116,X902112234003_F_5,2280
