ncolfr,names
8,X903111277002_A_1
9,X903111277002_A_10
10,X903111277002_A_11
11,X903111277002_A_12
12,X903111277002_A_2
13,X903111277002_A_3
14,X903111277002_A_4
15,X903111277002_A_5
16,X903111277002_A_6
17,X903111277002_A_7
18,X903111277002_A_8
19,X903111277002_A_9
20,X903111277002_B_1
21,X903111277002_B_10
22,X903111277002_B_11
23,X903111277002_B_12
24,X903111277002_B_2
25,X903111277002_B_3
26,X903111277002_B_4
27,X903111277002_B_5
28,X903111277002_B_6
29,X903111277002_B_7
30,X903111277002_B_8
31,X903111277002_B_9
32,X903111277002_C_1
33,X903111277002_C_10
34,X903111277002_C_11
35,X903111277002_C_12
36,X903111277002_C_2
37,X903111277002_C_3
38,X903111277002_C_4
39,X903111277002_C_5
40,X903111277002_C_6
41,X903111277002_C_7
42,X903111277002_C_8
43,X903111277002_C_9
44,X903111277002_D_1
45,X903111277002_D_10
46,X903111277002_D_11
47,X903111277002_D_12
48,X903111277002_D_2
49,X903111277002_D_3
50,X903111277002_D_4
51,X903111277002_D_5
52,X903111277002_D_6
53,X903111277002_D_7
54,X903111277002_D_8
55,X903111277002_D_9
56,X903111277002_E_1
57,X903111277002_E_10
58,X903111277002_E_11
59,X903111277002_E_12
60,X903111277002_E_2
61,X903111277002_E_3
62,X903111277002_E_4
63,X903111277002_E_5
64,X903111277002_E_6
65,X903111277002_E_7
66,X903111277002_E_8
67,X903111277002_E_9
68,X903111277002_F_1
69,X903111277002_F_10
70,X903111277002_F_11
71,X903111277002_F_12
72,X903111277002_F_2
73,X903111277002_F_3
74,X903111277002_F_4
75,X903111277002_F_5
76,X903111277002_F_6
77,X903111277002_F_7
78,X903111277002_F_8
79,X903111277002_F_9
80,X903111277002_G_1
81,X903111277002_G_10
82,X903111277002_G_11
83,X903111277002_G_2
84,X903111277002_G_3
85,X903111277002_G_4
86,X903111277002_G_5
87,X903111277002_G_6
88,X903111277002_G_7
89,X903111277002_G_8
90,X903111277002_G_9
91,X903111277002_H_1
92,X903111277002_H_10
93,X903111277002_H_11
94,X903111277002_H_2
95,X903111277002_H_3
96,X903111277002_H_4
97,X903111277002_H_5
98,X903111277002_H_6
99,X903111277002_H_7
100,X903111277002_H_8
101,X903111277002_H_9
102,X903111320007_A_1
103,X903111320007_A_10
104,X903111320007_A_11
105,X903111320007_A_12
106,X903111320007_A_2
107,X903111320007_A_3
108,X903111320007_A_4
109,X903111320007_A_5
110,X903111320007_A_6
111,X903111320007_A_7
112,X903111320007_A_8
113,X903111320007_A_9
114,X903111320007_B_1
115,X903111320007_B_10
116,X903111320007_B_11
117,X903111320007_B_12
118,X903111320007_B_2
119,X903111320007_B_3
120,X903111320007_B_4
121,X903111320007_B_5
122,X903111320007_B_6
123,X903111320007_B_7
124,X903111320007_B_8
125,X903111320007_B_9
126,X903111320007_C_1
127,X903111320007_C_10
128,X903111320007_C_11
129,X903111320007_C_12
130,X903111320007_C_2
131,X903111320007_C_3
132,X903111320007_C_4
133,X903111320007_C_5
134,X903111320007_C_6
135,X903111320007_C_7
136,X903111320007_C_8
137,X903111320007_C_9
138,X903111320007_D_1
139,X903111320007_D_10
140,X903111320007_D_11
141,X903111320007_D_12
142,X903111320007_D_2
143,X903111320007_D_3
144,X903111320007_D_4
145,X903111320007_D_5
146,X903111320007_D_6
147,X903111320007_D_7
148,X903111320007_D_8
149,X903111320007_D_9
150,X903111320007_E_1
151,X903111320007_E_10
152,X903111320007_E_11
153,X903111320007_E_12
154,X903111320007_E_2
155,X903111320007_E_3
156,X903111320007_E_4
157,X903111320007_E_5
158,X903111320007_E_6
159,X903111320007_E_7
160,X903111320007_E_8
161,X903111320007_E_9
162,X903111320007_F_1
163,X903111320007_F_10
164,X903111320007_F_11
165,X903111320007_F_12
166,X903111320007_F_2
167,X903111320007_F_3
168,X903111320007_F_4
169,X903111320007_F_5
170,X903111320007_F_6
171,X903111320007_F_7
172,X903111320007_F_8
173,X903111320007_F_9
174,X903111320007_G_1
175,X903111320007_G_10
176,X903111320007_G_11
177,X903111320007_G_2
178,X903111320007_G_3
179,X903111320007_G_4
180,X903111320007_G_5
181,X903111320007_G_6
182,X903111320007_G_7
183,X903111320007_G_8
184,X903111320007_G_9
185,X903111320007_H_1
186,X903111320007_H_10
187,X903111320007_H_11
188,X903111320007_H_2
189,X903111320007_H_3
190,X903111320007_H_4
191,X903111320007_H_5
192,X903111320007_H_6
193,X903111320007_H_7
194,X903111320007_H_8
195,X903111320007_H_9
196,X903112033003_A_1
197,X903112033003_A_10
198,X903112033003_A_11
199,X903112033003_A_12
200,X903112033003_A_2
201,X903112033003_A_3
202,X903112033003_A_4
203,X903112033003_A_5
204,X903112033003_A_6
205,X903112033003_A_7
206,X903112033003_A_8
207,X903112033003_A_9
208,X903112033003_B_1
209,X903112033003_B_10
210,X903112033003_B_11
211,X903112033003_B_12
212,X903112033003_B_2
213,X903112033003_B_3
214,X903112033003_B_4
215,X903112033003_B_5
216,X903112033003_B_6
217,X903112033003_B_7
218,X903112033003_B_8
219,X903112033003_B_9
220,X903112033003_C_1
221,X903112033003_C_10
222,X903112033003_C_11
223,X903112033003_C_12
224,X903112033003_C_2
225,X903112033003_C_3
226,X903112033003_C_4
227,X903112033003_C_5
228,X903112033003_C_6
229,X903112033003_C_7
230,X903112033003_C_8
231,X903112033003_C_9
232,X903112033003_D_1
233,X903112033003_D_10
234,X903112033003_D_11
235,X903112033003_D_12
236,X903112033003_D_2
237,X903112033003_D_3
238,X903112033003_D_4
239,X903112033003_D_5
240,X903112033003_D_6
241,X903112033003_D_7
242,X903112033003_D_8
243,X903112033003_D_9
244,X903112033003_E_1
245,X903112033003_E_10
246,X903112033003_E_11
247,X903112033003_E_12
248,X903112033003_E_2
249,X903112033003_E_3
250,X903112033003_E_4
251,X903112033003_E_5
252,X903112033003_E_6
253,X903112033003_E_7
254,X903112033003_E_8
255,X903112033003_E_9
256,X903112033003_F_1
257,X903112033003_F_10
258,X903112033003_F_11
259,X903112033003_F_12
260,X903112033003_F_2
261,X903112033003_F_3
262,X903112033003_F_4
263,X903112033003_F_5
264,X903112033003_F_6
265,X903112033003_F_7
266,X903112033003_F_8
267,X903112033003_F_9
268,X903112033003_G_1
269,X903112033003_G_10
270,X903112033003_G_11
271,X903112033003_G_2
272,X903112033003_G_3
273,X903112033003_G_4
274,X903112033003_G_5
275,X903112033003_G_6
276,X903112033003_G_7
277,X903112033003_G_8
278,X903112033003_G_9
279,X903112033003_H_1
280,X903112033003_H_10
281,X903112033003_H_11
282,X903112033003_H_2
283,X903112033003_H_3
284,X903112033003_H_4
285,X903112033003_H_5
286,X903112033003_H_6
287,X903112033003_H_7
288,X903112033003_H_8
289,X903112033003_H_9
290,X903112033004_A_1
291,X903112033004_A_10
292,X903112033004_A_11
293,X903112033004_A_12
294,X903112033004_A_2
295,X903112033004_A_3
296,X903112033004_A_4
297,X903112033004_A_5
298,X903112033004_A_6
